GEOID,NAME,variable,estimate,moe,year,year_lab,tract_name
36047023400,"Census Tract 234, Kings County, New York",female_25_29,218,82,2009,2005-2009,Census Tract 234
36047023400,"Census Tract 234, Kings County, New York",female_30_34,112,61,2009,2005-2009,Census Tract 234
36047023400,"Census Tract 234, Kings County, New York",female_35_39,110,75,2009,2005-2009,Census Tract 234
36047023400,"Census Tract 234, Kings County, New York",female_40_44,37,30,2009,2005-2009,Census Tract 234
36047023400,"Census Tract 234, Kings County, New York",female_45_49,18,21,2009,2005-2009,Census Tract 234
36047023400,"Census Tract 234, Kings County, New York",female_50_54,124,69,2009,2005-2009,Census Tract 234
36047023400,"Census Tract 234, Kings County, New York",female_55_59,141,87,2009,2005-2009,Census Tract 234
36047023400,"Census Tract 234, Kings County, New York",female_60_61,79,66,2009,2005-2009,Census Tract 234
36047023400,"Census Tract 234, Kings County, New York",female_62_64,27,34,2009,2005-2009,Census Tract 234
36047023400,"Census Tract 234, Kings County, New York",female_65_66,22,25,2009,2005-2009,Census Tract 234
36047023400,"Census Tract 234, Kings County, New York",female_67_69,31,38,2009,2005-2009,Census Tract 234
36047023400,"Census Tract 234, Kings County, New York",female_70_74,23,24,2009,2005-2009,Census Tract 234
36047023400,"Census Tract 234, Kings County, New York",female_75_79,129,72,2009,2005-2009,Census Tract 234
36047023400,"Census Tract 234, Kings County, New York",female_80_84,21,24,2009,2005-2009,Census Tract 234
36047023400,"Census Tract 234, Kings County, New York",female_85,87,63,2009,2005-2009,Census Tract 234
36047023400,"Census Tract 234, Kings County, New York",total_race,4995,772,2009,2005-2009,Census Tract 234
36047023400,"Census Tract 234, Kings County, New York",white_race,4955,768,2009,2005-2009,Census Tract 234
36047023400,"Census Tract 234, Kings County, New York",black_race,19,30,2009,2005-2009,Census Tract 234
36047023400,"Census Tract 234, Kings County, New York",aian_race,0,123,2009,2005-2009,Census Tract 234
36047023400,"Census Tract 234, Kings County, New York",asian_race,0,123,2009,2005-2009,Census Tract 234
36047023400,"Census Tract 234, Kings County, New York",nhpi_race,0,123,2009,2005-2009,Census Tract 234
36047023400,"Census Tract 234, Kings County, New York",oth_race,21,33,2009,2005-2009,Census Tract 234
36047023400,"Census Tract 234, Kings County, New York",mult_race,0,123,2009,2005-2009,Census Tract 234
36047023400,"Census Tract 234, Kings County, New York",multoth_race,0,123,2009,2005-2009,Census Tract 234
36047023400,"Census Tract 234, Kings County, New York",multnoth_race,0,123,2009,2005-2009,Census Tract 234
36047023400,"Census Tract 234, Kings County, New York",total_eth,4995,772,2009,2005-2009,Census Tract 234
36047023400,"Census Tract 234, Kings County, New York",nothisp_eth,4937,767,2009,2005-2009,Census Tract 234
36047023400,"Census Tract 234, Kings County, New York",hisp_eth,58,50,2009,2005-2009,Census Tract 234
36047023400,"Census Tract 234, Kings County, New York",total_hh_move,4767,765,2009,2005-2009,Census Tract 234
36047023400,"Census Tract 234, Kings County, New York",same_hh,4248,750,2009,2005-2009,Census Tract 234
36047023400,"Census Tract 234, Kings County, New York",move_instate_hh,42,69,2009,2005-2009,Census Tract 234
36047023400,"Census Tract 234, Kings County, New York",move_ostate_hh,9,14,2009,2005-2009,Census Tract 234
36047023400,"Census Tract 234, Kings County, New York",med_hhinc,37738,9924,2009,2005-2009,Census Tract 234
36047023400,"Census Tract 234, Kings County, New York",total_hh,1350,114,2009,2005-2009,Census Tract 234
36047023400,"Census Tract 234, Kings County, New York",hh_oo,253,82,2009,2005-2009,Census Tract 234
